gene logFC FDR up_in_female V7
ENSRNOT00000082439.1 -1.68189963411201 1.11102151414256e-13 TRUE Rab3gap1
ENSRNOT00000082614.1 -5.38832950153367 0.0498837648694491 TRUE Ccl28
ENSRNOT00000082648.1 12.2370435719872 5.69143802787847e-102 FALSE Uty
ENSRNOT00000082699.1 0.516767862353264 0.0180660975132128 FALSE Adcy6
ENSRNOT00000082776.1 0.946427011858531 0.000542914371010037 FALSE AABR07051069.1
ENSRNOT00000082825.1 -2.23662092257464 0.04777649160152 TRUE Vps53
ENSRNOT00000082885.1 1.15368633825177 2.6656804683004e-12 FALSE AABR07063424.1
ENSRNOT00000083593.1 -5.44854482321369 0.017799170783857 TRUE Sphk1
ENSRNOT00000083608.1 -5.79269679289983 0.0235468636031995 TRUE Tmem63a
ENSRNOT00000083617.1 -8.36700806133632 3.53944824222098e-07 TRUE Gnl1
ENSRNOT00000083626.1 6.60394198547563 0.00458993412767297 FALSE Ak7
ENSRNOT00000083700.1 -1.83275728305912 0.0145920260201168 TRUE Slc2a1
ENSRNOT00000084058.1 2.38082299535974 2.03547919050024e-08 FALSE Suco
ENSRNOT00000084155.1 -1.81708133341303 0.0455842237334333 TRUE Lpin1
ENSRNOT00000084199.1 -5.74992789936813 0.0252559837440243 TRUE Kri1
ENSRNOT00000084320.1 1.4999154010576 0.00200498369952203 FALSE Cr1l
ENSRNOT00000084602.1 -5.76281725845973 0.0222338242918432 TRUE Map4k3
ENSRNOT00000084624.1 -6.53236630249684 0.00400130719215503 TRUE Prlr
ENSRNOT00000084771.1 -6.03196631624441 0.0137646071371705 TRUE Zfp523
ENSRNOT00000084777.1 -1.20309392766869 0.0322128868207302 TRUE Agap3
ENSRNOT00000084815.1 -6.04243247003307 0.0133609348497688 TRUE Fbln5
ENSRNOT00000084940.1 -7.43242437332179 0.00018707239843792 TRUE Oxr1
ENSRNOT00000085414.1 -6.68732127578223 0.00105120311734959 TRUE Ldb3
ENSRNOT00000085588.1 -6.53632282822356 1.15339204037789e-09 TRUE AABR07037536.1
ENSRNOT00000085701.1 -1.89701151869898 0.000249446020744878 TRUE Ehmt2
ENSRNOT00000085835.1 -5.78693994313349 0.0238411167915502 TRUE Pim3
ENSRNOT00000085875.1 1.15368633825177 2.6656804683004e-12 FALSE AABR07015078.1
ENSRNOT00000086014.1 -5.46041629526758 0.044334901889139 TRUE Rnf128
ENSRNOT00000086056.1 10.2683917626942 1.52161593763624e-237 FALSE Kdm5d
ENSRNOT00000086164.1 6.7092300918111 0.00323892593780044 FALSE LOC100911951
ENSRNOT00000086305.1 -5.75498307465282 0.0252022380959389 TRUE Coro7
ENSRNOT00000086342.1 6.18679677854986 0.0127346149533397 FALSE Zfp438
ENSRNOT00000086460.1 5.63498753198127 0.039983891875279 FALSE Swt1
ENSRNOT00000086550.1 8.83706868432484 1.01546897281001e-09 FALSE Plec
ENSRNOT00000086729.1 6.77052978692961 0.00268883845049834 FALSE Epb41l4a
ENSRNOT00000086929.1 -5.74256504132266 0.0258559784175577 TRUE Mpv17l
ENSRNOT00000086999.1 -5.84079480935716 0.011378282844953 TRUE AABR07024303.3
ENSRNOT00000087247.1 1.21887560747517 1.15278830177211e-39 FALSE AABR07015081.2
ENSRNOT00000087270.1 -4.32698655240294 5.01509367259595e-06 TRUE Tcf12
